name,location_area_zone,date,glass_bags,mixed_bags,plastic_bags ,paper_bags,seg_lf_bags,sanitory_bags,comments
,Prayatna,10/01/16,0,0,2,2,0,3,
Kiosk Cycle Service,Solar Kitchen,10/01/16,0,3,0,0,0,1,Jan not complete
Auroville Library,Auroville Library,10/01/16,0,0,2,3,0,1,
Courage,Courage,10/01/16,1,1,6,6,0,1,
Solar kitchen,Solar Kitchen,10/01/16,1,0,4,4,0,1,
CSR,Auroshilpam,11/01/16,0,4,2,0,0,0,
Earth Institute,Auroshilpam,11/01/16,1,2,2,2,0,0,
Inside India,Auroshilpam,11/01/16,0,0,0,3,0,0,
AEP,Auroshilpam,11/01/16,1,2,4,3,0,0,
Aurosarjan,Auroshilpam,11/01/16,0,0,14,8,0,8,
Auro Sunshine,Auroshilpam,11/01/16,0,0,3,3,0,0,
Naturellement,Udyogam,11/01/16,2,3,3,3,0,1,
Afsanah GH,Kottakarai,11/01/16,0,3,2,2,0,0,
Sincerity ,Sincerity ,11/01/16,1,3,3,3,0,1,
Creativity,Creativity,11/01/16,1,1,5,5,0,1,
Visitor Center,Visitor Center,22/02/16,2,2,7,8,0,1,
Mitra,Mitra,23/02/16,0,1,5,5,0,2,
Inspiration,Inspiration,23/02/16,1,0,6,6,0,3,
Kailash,Kailash,23/02/16,1,0,4,4,0,3,
Realization,Realization,23/02/16,1,2,3,3,0,1,
Reve GH,Reve,23/02/16,1,7,5,5,0,1,
Courage,Courage,23/02/16,0,0,4,4,0,1,
Solar kitchen,Solar Kitchen,23/02/16,2,0,4,4,0,1,
Maitreye 2,Residential Zone,24/02/16,0,2,7,7,2,2,Feb not complete
Maitreye 1,Residential Zone,24/02/16,0,2,6,6,1,0,
Michael (Ritam),Ritam Farm,24/02/16,1,0,4,0,0,3,
Michael (Ritam),Ritam Farm,24/02/16,0,1,0,0,0,0,
Aurosarjan,Auroshilpam,24/02/16,2,0,10,7,0,8,
Celebration NC,Celebration,24/02/16,1,0,4,4,0,0,
Verite GH,Kottakarai,24/02/16,1,0,4,4,0,4,
Gerard,Sukhavati,24/02/16,1,0,2,2,0,0,
Alan and Annmarie,Samriddhi,24/02/16,1,0,3,4,0,1,
Tamil Heritage,Tamil Heritage,25/02/16,0,0,2,2,0,0,
Tibetan Pavillon,International Zone,25/02/16,0,1,5,5,0,1,
Surrender,Surrender,25/02/16,3,3,8,6,0,2,
Julia,Shanti,25/02/16,2,2,1,1,0,0,
Health Center,Aspiration,25/02/16,2,0,3,7,0,0,
Happiness,Happiness,25/02/16,1,0,2,2,0,1,
Ilona,Felicity,25/02/16,1,1,2,2,0,0,
AV Foundation,Town Hall,25/02/16,0,2,1,3,0,0,
